                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.1114,                 2.6427,                 1.8228,                  0.397,                0.14499,                0.09777,                0.04433,                 2.1239,                 2.6078,                 1.8177,             8.3303e-05,             8.3303e-05,             8.3303e-05
                      2,                 2.0856,                 2.5894,                 1.7859,                0.37742,                0.14283,                0.10926,                 0.0503,                 2.1031,                  2.566,                 1.7809,             0.00015014,             0.00015014,             0.00015014
                      3,                 2.0574,                 2.5269,                 1.7429,                0.39645,                0.14849,                0.11706,                0.05363,                 2.0635,                 2.5203,                 1.7308,             0.00020048,             0.00020048,             0.00020048
                      4,                 2.0248,                 2.4511,                 1.7014,                0.44815,                0.15588,                0.12317,                0.05777,                 2.0441,                 2.4605,                  1.707,             0.00017575,             0.00017575,             0.00017575
                      5,                 1.9991,                  2.398,                 1.6713,                0.42961,                0.16912,                0.13184,                0.06175,                 2.0123,                 2.4117,                 1.6678,             0.00017575,             0.00017575,             0.00017575
                      6,                 1.9754,                 2.3409,                 1.6415,                 0.3933,                0.18477,                0.13962,                0.06597,                 1.9969,                 2.3611,                 1.6493,               0.000151,               0.000151,               0.000151
                      7,                 1.9597,                 2.2939,                 1.6195,                0.32898,                 0.1947,                0.14528,                 0.0693,                 1.9773,                 2.3285,                 1.6218,             0.00012625,             0.00012625,             0.00012625
                      8,                 1.9399,                 2.2585,                 1.5992,                0.41428,                0.19111,                0.14676,                0.07005,                 1.9661,                 2.3155,                 1.6131,              0.0001015,              0.0001015,              0.0001015
                      9,                 1.9323,                 2.2362,                 1.5885,                0.40294,                0.19288,                 0.1541,                0.07397,                 1.9625,                 2.2951,                 1.6039,              7.675e-05,              7.675e-05,              7.675e-05
                     10,                 1.9192,                 2.2156,                 1.5787,                0.38128,                 0.2014,                0.15608,                0.07473,                 1.9554,                 2.2762,                 1.5957,                5.2e-05,                5.2e-05,                5.2e-05
