                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.8539,                 2.1335,                  1.471,                0.41246,                0.27062,                0.22445,                0.11003,                 1.8043,                   1.95,                 1.4356,             8.3303e-05,             8.3303e-05,             8.3303e-05
                      2,                 1.8388,                 2.0709,                  1.451,                0.40667,                0.27007,                0.22311,                0.10892,                 1.8121,                 1.9409,                 1.4343,             0.00015839,             0.00015839,             0.00015839
                      3,                 1.8372,                 2.0601,                 1.4479,                0.41392,                 0.2693,                0.22495,                0.10867,                 1.8084,                 1.9431,                 1.4315,             0.00022522,             0.00022522,             0.00022522
                      4,                 1.8225,                 2.0385,                 1.4393,                0.40485,                0.27903,                0.23128,                0.11117,                 1.8067,                 1.9183,                 1.4288,             0.00021288,             0.00021288,             0.00021288
                      5,                  1.823,                 2.0254,                 1.4355,                0.38663,                0.28191,                0.23114,                0.11101,                  1.796,                 1.9343,                 1.4236,             0.00021288,             0.00021288,             0.00021288
                      6,                 1.8088,                 2.0044,                 1.4255,                0.40115,                0.28046,                0.23731,                0.11469,                  1.787,                 1.8919,                 1.4162,              0.0002005,              0.0002005,              0.0002005
                      7,                 1.8078,                  1.992,                 1.4203,                0.41936,                0.27425,                 0.2378,                0.11409,                 1.7791,                 1.8852,                 1.4092,             0.00018812,             0.00018812,             0.00018812
                      8,                 1.8015,                 1.9773,                 1.4157,                0.41198,                0.29624,                0.24415,                 0.1176,                 1.7771,                 1.8752,                 1.4073,             0.00017575,             0.00017575,             0.00017575
                      9,                 1.7863,                 1.9592,                 1.4063,                0.40994,                0.28313,                0.24641,                  0.118,                 1.7686,                 1.8757,                 1.4047,             0.00016338,             0.00016338,             0.00016338
                     10,                 1.7762,                 1.9321,                 1.4001,                0.41842,                0.29221,                 0.2498,                  0.121,                 1.7673,                 1.8572,                 1.3984,               0.000151,               0.000151,               0.000151
                     11,                 1.7321,                 1.8329,                 1.3866,                0.44784,                0.29249,                0.25803,                 0.1294,                 1.7637,                 1.8319,                 1.3954,             0.00013862,             0.00013862,             0.00013862
                     12,                 1.7185,                 1.7881,                 1.3772,                0.42868,                0.30437,                0.26539,                0.13292,                 1.7575,                 1.8192,                 1.3883,             0.00012625,             0.00012625,             0.00012625
                     13,                 1.7147,                 1.7814,                 1.3729,                0.42419,                0.31304,                0.27233,                0.13768,                 1.7533,                 1.8114,                 1.3825,             0.00011387,             0.00011387,             0.00011387
                     14,                 1.7099,                 1.7585,                 1.3681,                0.44749,                0.30186,                0.27278,                0.13763,                 1.7527,                 1.7988,                 1.3833,              0.0001015,              0.0001015,              0.0001015
                     15,                 1.7043,                 1.7486,                 1.3678,                0.43974,                0.30958,                 0.2772,                0.13983,                 1.7478,                 1.7925,                 1.3803,             8.9125e-05,             8.9125e-05,             8.9125e-05
                     16,                 1.7009,                  1.737,                 1.3633,                0.43643,                0.31712,                0.27979,                0.14081,                  1.748,                 1.7832,                  1.379,              7.675e-05,              7.675e-05,              7.675e-05
                     17,                 1.6963,                 1.7254,                 1.3597,                0.45881,                0.30345,                0.28019,                0.14204,                 1.7436,                 1.7835,                 1.3762,             6.4375e-05,             6.4375e-05,             6.4375e-05
                     18,                 1.6939,                 1.7208,                  1.359,                0.45359,                0.31094,                0.28362,                 0.1437,                 1.7428,                 1.7746,                 1.3758,                5.2e-05,                5.2e-05,                5.2e-05
                     19,                 1.6924,                 1.7102,                 1.3565,                0.45132,                0.31287,                0.28528,                0.14492,                 1.7411,                 1.7703,                  1.374,             3.9625e-05,             3.9625e-05,             3.9625e-05
                     20,                 1.6926,                 1.7114,                 1.3585,                0.44733,                0.31294,                 0.2846,                0.14398,                 1.7402,                 1.7717,                 1.3738,              2.725e-05,              2.725e-05,              2.725e-05
