epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,1307.2,1.33734,1.4465,1.22533,0.49887,0.46659,0.43646,0.23765,1.39963,1.33326,1.24084,0.00999274,0.00333091,0.00999274,0.00333091,0.00999274,0.00333091,0.00999274,0.00333091
2,2454.51,1.35318,1.24425,1.21428,0.57522,0.42067,0.42259,0.23127,1.4405,1.29626,1.2668,0.0198938,0.00663126,0.0198938,0.00663126,0.0198938,0.00663126,0.0198938,0.00663126
3,3560.47,1.40874,1.35402,1.24696,0.565,0.30381,0.29278,0.15968,1.51926,1.63067,1.32347,0.0296958,0.0098986,0.0296958,0.0098986,0.0296958,0.0098986,0.0296958,0.0098986
4,4649.79,1.41975,1.35033,1.25445,0.54038,0.43041,0.39024,0.21719,1.43993,1.35753,1.2897,0.0295545,0.0098515,0.0295545,0.0098515,0.0295545,0.0098515,0.0295545,0.0098515
5,5736.89,1.36907,1.21875,1.22828,0.59904,0.46266,0.46997,0.26427,1.41236,1.16733,1.25414,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802
6,6825.89,1.33966,1.13848,1.21221,0.60408,0.51425,0.53289,0.30441,1.37915,1.09912,1.23465,0.0292575,0.0097525,0.0292575,0.0097525,0.0292575,0.0097525,0.0292575,0.0097525
7,7913.86,1.31118,1.08096,1.19041,0.59269,0.56081,0.56064,0.32587,1.36334,1.00307,1.2197,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
8,9001.4,1.2928,1.03123,1.18699,0.65009,0.56585,0.57363,0.33677,1.34334,0.9869,1.21491,0.0289605,0.0096535,0.0289605,0.0096535,0.0289605,0.0096535,0.0289605,0.0096535
9,10092.7,1.28245,0.99716,1.17111,0.64857,0.57491,0.58389,0.35014,1.32608,0.94323,1.20461,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
10,11180.7,1.26882,0.97167,1.16806,0.68483,0.59441,0.62897,0.37354,1.3259,0.91627,1.19937,0.0286635,0.0095545,0.0286635,0.0095545,0.0286635,0.0095545,0.0286635,0.0095545
11,12269.9,1.25854,0.95496,1.16073,0.70196,0.60948,0.63577,0.38064,1.30221,0.89236,1.18803,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
