epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
31,6219.97,1.15632,0.76261,1.15912,0.7483,0.70508,0.73224,0.46327,1.23447,0.73826,1.21475,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
32,7250.97,1.1484,0.75167,1.14901,0.76144,0.69257,0.7356,0.46622,1.23298,0.73725,1.21331,0.0253965,0.0084655,0.0253965,0.0084655,0.0253965,0.0084655,0.0253965,0.0084655
33,8287.53,1.14373,0.74227,1.14882,0.75568,0.69522,0.73785,0.4673,1.23112,0.73664,1.20915,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
34,9325.11,1.14184,0.73563,1.14374,0.76411,0.69431,0.73891,0.4692,1.22985,0.73402,1.20985,0.0250995,0.0083665,0.0250995,0.0083665,0.0250995,0.0083665,0.0250995,0.0083665
35,10365.8,1.13828,0.73226,1.14261,0.75674,0.70111,0.73818,0.46981,1.22857,0.73208,1.20712,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317
36,11410,1.13337,0.73196,1.1362,0.7636,0.69715,0.74013,0.4715,1.22732,0.73146,1.2053,0.0248025,0.0082675,0.0248025,0.0082675,0.0248025,0.0082675,0.0248025,0.0082675
37,12451.3,1.1376,0.73201,1.1447,0.72263,0.70927,0.73963,0.47118,1.22629,0.72964,1.20604,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
38,13491.1,1.1294,0.72318,1.13856,0.70929,0.72083,0.74131,0.4721,1.22497,0.72893,1.20607,0.0245055,0.0081685,0.0245055,0.0081685,0.0245055,0.0081685,0.0245055,0.0081685
39,14537.6,1.12695,0.71809,1.1358,0.71846,0.7162,0.74112,0.47273,1.22376,0.72879,1.20657,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119
40,15575.4,1.12511,0.71803,1.13319,0.71889,0.71232,0.74,0.47316,1.22302,0.72887,1.20579,0.0242085,0.0080695,0.0242085,0.0080695,0.0242085,0.0080695,0.0242085,0.0080695
41,16612.7,1.11934,0.71174,1.13114,0.72431,0.71131,0.74051,0.47228,1.22218,0.72719,1.20509,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
42,17652.1,1.12198,0.70887,1.13579,0.72181,0.71088,0.73974,0.47318,1.22182,0.72641,1.2059,0.0239115,0.0079705,0.0239115,0.0079705,0.0239115,0.0079705,0.0239115,0.0079705
43,18687.4,1.1181,0.70737,1.13052,0.72154,0.7107,0.73989,0.47298,1.2213,0.72644,1.20588,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921
