                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.2824,                 5.2325,                 3.9468,                0.82033,                0.00861,                0.00724,                0.00221,                 3.0448,                 4.0997,                 3.4418,             8.3303e-05,             8.3303e-05,             8.3303e-05
                      2,                 2.8196,                 4.1287,                 3.0709,                0.36391,                0.01995,                0.01471,                0.00543,                 2.7254,                 3.6132,                 2.7489,             0.00015014,             0.00015014,             0.00015014
                      3,                  2.589,                 3.6556,                 2.5843,                0.34434,                0.05208,                0.03338,                0.01285,                 2.5399,                 3.2762,                 2.4334,             0.00020048,             0.00020048,             0.00020048
                      4,                 2.4354,                 3.3312,                 2.3225,                 0.4239,                0.07142,                0.04558,                0.01888,                 2.4153,                 3.0927,                 2.2397,             0.00017575,             0.00017575,             0.00017575
                      5,                 2.3353,                 3.1186,                 2.1557,                0.37604,                0.08584,                0.05965,                0.02517,                 2.3304,                 2.9448,                 2.1057,             0.00017575,             0.00017575,             0.00017575
                      6,                 2.2649,                 2.9752,                 2.0415,                 0.4007,                0.10572,                0.07586,                0.03161,                 2.2594,                 2.8182,                 2.0033,               0.000151,               0.000151,               0.000151
                      7,                 2.2097,                 2.8533,                 1.9599,                 0.4013,                0.11327,                 0.0828,                0.03649,                 2.2046,                 2.7373,                 1.9323,             0.00012625,             0.00012625,             0.00012625
                      8,                 2.1725,                  2.765,                 1.9023,                0.37231,                0.12343,                0.08909,                0.03976,                 2.1703,                  2.699,                 1.8907,              0.0001015,              0.0001015,              0.0001015
                      9,                 2.1456,                 2.7093,                 1.8653,                0.38684,                0.13677,                0.09053,                0.04105,                 2.1492,                 2.6548,                 1.8565,              7.675e-05,              7.675e-05,              7.675e-05
                     10,                 2.1224,                 2.6708,                 1.8383,                0.38628,                0.14255,                0.09391,                0.04306,                 2.1396,                 2.6354,                 1.8395,                5.2e-05,                5.2e-05,                5.2e-05
