                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.7073,                 1.7752,                 1.3363,                0.45616,                0.35285,                0.32053,                0.16398,                 1.7007,                 1.6562,                 1.3325,             8.3303e-05,             8.3303e-05,             8.3303e-05
                      2,                 1.6971,                 1.7327,                 1.3245,                0.44258,                0.36455,                  0.322,                0.16283,                 1.7043,                  1.647,                 1.3326,             0.00015839,             0.00015839,             0.00015839
                      3,                 1.7005,                 1.7333,                 1.3277,                0.44229,                0.35456,                0.32381,                0.16285,                 1.7013,                 1.6571,                 1.3312,             0.00022522,             0.00022522,             0.00022522
                      4,                 1.6906,                 1.7255,                  1.324,                0.44478,                 0.3525,                0.31614,                0.15742,                 1.7064,                 1.6644,                 1.3324,             0.00021288,             0.00021288,             0.00021288
                      5,                 1.6987,                 1.7277,                 1.3263,                0.46021,                0.35898,                0.32193,                0.16041,                 1.7019,                 1.6805,                 1.3355,             0.00021288,             0.00021288,             0.00021288
                      6,                  1.687,                 1.7141,                 1.3197,                0.44063,                0.35211,                0.32243,                0.16275,                 1.6926,                 1.6506,                 1.3302,              0.0002005,              0.0002005,              0.0002005
                      7,                 1.6923,                 1.7176,                 1.3198,                0.47166,                0.35293,                 0.3237,                0.16305,                 1.6924,                 1.6493,                  1.328,             0.00018812,             0.00018812,             0.00018812
                      8,                 1.6892,                 1.7102,                 1.3186,                0.45105,                0.36096,                0.32823,                0.16424,                  1.691,                 1.6407,                 1.3283,             0.00017575,             0.00017575,             0.00017575
                      9,                 1.6782,                 1.6939,                 1.3129,                0.44682,                0.35319,                0.32476,                0.16365,                 1.6845,                 1.6562,                 1.3273,             0.00016338,             0.00016338,             0.00016338
                     10,                 1.6709,                 1.6822,                 1.3097,                0.47033,                0.36204,                0.33548,                0.16773,                 1.6886,                 1.6341,                 1.3252,               0.000151,               0.000151,               0.000151
                     11,                 1.6333,                 1.5808,                 1.3035,                0.47535,                0.34314,                0.33991,                0.17466,                 1.6876,                 1.6144,                 1.3226,             0.00013862,             0.00013862,             0.00013862
