                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.7065,                 1.7741,                 1.3362,                0.44897,                0.35892,                0.32006,                0.16388,                 1.6985,                 1.6563,                 1.3314,             8.3303e-05,             8.3303e-05,             8.3303e-05
                      2,                 1.6972,                 1.7329,                  1.325,                0.43576,                0.37031,                0.32154,                 0.1627,                 1.7049,                 1.6475,                 1.3325,             0.00015839,             0.00015839,             0.00015839
                      3,                 1.7003,                 1.7328,                 1.3275,                0.43692,                0.35621,                0.32204,                0.16265,                 1.7018,                  1.658,                 1.3307,             0.00022522,             0.00022522,             0.00022522
                      4,                 1.6915,                 1.7287,                 1.3246,                0.44343,                 0.3545,                 0.3166,                0.15767,                 1.7048,                 1.6607,                 1.3306,             0.00021288,             0.00021288,             0.00021288
