                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.2824,                 5.2305,                 3.9458,                0.76494,                0.00831,                0.00717,                0.00218,                 3.0431,                 4.0959,                 3.4396,             8.3303e-05,             8.3303e-05,             8.3303e-05
                      2,                 2.8212,                 4.1302,                 3.0722,                0.36553,                0.02028,                0.01506,                0.00552,                  2.721,                 3.6134,                 2.7448,             0.00015014,             0.00015014,             0.00015014
                      3,                 2.5883,                 3.6555,                 2.5828,                0.33023,                0.05015,                0.03335,                0.01264,                 2.5396,                 3.2732,                 2.4332,             0.00020048,             0.00020048,             0.00020048
                      4,                 2.4362,                 3.3301,                 2.3225,                0.42753,                0.07091,                0.04646,                0.01915,                 2.4132,                 3.0922,                 2.2378,             0.00017575,             0.00017575,             0.00017575
                      5,                 2.3325,                 3.1171,                  2.152,                0.43326,                  0.093,                0.06515,                0.02667,                 2.3306,                 2.9406,                 2.1035,             0.00017575,             0.00017575,             0.00017575
                      6,                 2.2636,                  2.973,                 2.0385,                 0.4344,                0.10176,                0.07603,                0.03193,                 2.2584,                 2.8147,                 1.9998,               0.000151,               0.000151,               0.000151
                      7,                 2.2081,                 2.8453,                 1.9555,                0.43289,                0.11642,                0.08238,                0.03641,                 2.2057,                 2.7335,                 1.9288,             0.00012625,             0.00012625,             0.00012625
                      8,                 2.1718,                 2.7639,                 1.9011,                0.38194,                0.12367,                0.08929,                 0.0396,                 2.1739,                 2.6909,                 1.8886,              0.0001015,              0.0001015,              0.0001015
                      9,                  2.146,                 2.7067,                 1.8641,                0.42103,                0.13769,                 0.0947,                0.04299,                 2.1517,                  2.655,                 1.8562,              7.675e-05,              7.675e-05,              7.675e-05
                     10,                  2.122,                 2.6672,                 1.8368,                0.44933,                0.14039,                0.09671,                0.04437,                 2.1386,                 2.6331,                 1.8372,                5.2e-05,                5.2e-05,                5.2e-05
