                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.7068,                 1.7739,                 1.3362,                0.43089,                0.35761,                0.31901,                0.16323,                 1.6992,                 1.6564,                 1.3317,             8.3303e-05,             8.3303e-05,             8.3303e-05
                      2,                 1.6971,                 1.7327,                 1.3246,                0.44447,                0.36218,                0.32104,                0.16313,                 1.7031,                 1.6497,                 1.3319,             0.00015839,             0.00015839,             0.00015839
                      3,                 1.7012,                 1.7343,                 1.3281,                0.47663,                0.35644,                0.32296,                0.16263,                 1.7006,                 1.6579,                 1.3299,             0.00022522,             0.00022522,             0.00022522
                      4,                 1.6914,                 1.7287,                 1.3242,                0.43241,                0.36019,                0.31681,                0.15831,                 1.7083,                 1.6612,                 1.3334,             0.00021288,             0.00021288,             0.00021288
                      5,                 1.6984,                 1.7287,                 1.3259,                0.45482,                0.36654,                0.32185,                0.16032,                 1.7032,                 1.6845,                 1.3366,             0.00021288,             0.00021288,             0.00021288
                      6,                 1.6873,                 1.7147,                 1.3195,                0.47429,                0.34981,                0.32248,                0.16277,                 1.6921,                 1.6506,                 1.3295,              0.0002005,              0.0002005,              0.0002005
                      7,                 1.6906,                 1.7131,                 1.3187,                0.47222,                0.35841,                 0.3256,                0.16253,                 1.6916,                 1.6524,                 1.3273,             0.00018812,             0.00018812,             0.00018812
                      8,                 1.6881,                 1.7071,                 1.3178,                  0.443,                0.36099,                0.32509,                0.16283,                 1.6919,                 1.6414,                 1.3285,             0.00017575,             0.00017575,             0.00017575
                      9,                 1.6773,                 1.6934,                 1.3121,                0.42987,                0.36094,                0.32695,                0.16436,                 1.6844,                  1.653,                 1.3263,             0.00016338,             0.00016338,             0.00016338
                     10,                 1.6713,                  1.683,                   1.31,                0.46193,                0.36418,                0.33306,                0.16732,                 1.6893,                 1.6336,                 1.3259,               0.000151,               0.000151,               0.000151
                     11,                 1.6334,                 1.5813,                 1.3038,                0.46495,                0.34808,                0.34091,                0.17453,                 1.6874,                 1.6138,                 1.3217,             0.00013862,             0.00013862,             0.00013862
                     12,                 1.6238,                 1.5526,                 1.2972,                0.46635,                0.35942,                0.34853,                 0.1773,                 1.6851,                 1.6082,                 1.3189,             0.00012625,             0.00012625,             0.00012625
                     13,                 1.6203,                 1.5455,                 1.2943,                0.47191,                 0.3618,                0.34721,                0.17735,                 1.6844,                 1.6077,                 1.3186,             0.00011387,             0.00011387,             0.00011387
                     14,                 1.6189,                 1.5314,                 1.2932,                0.46119,                0.37269,                0.34992,                0.17857,                 1.6848,                  1.602,                 1.3192,              0.0001015,              0.0001015,              0.0001015
                     15,                 1.6145,                 1.5263,                 1.2924,                0.49087,                0.35856,                0.35644,                0.18299,                 1.6784,                  1.593,                 1.3144,             8.9125e-05,             8.9125e-05,             8.9125e-05
                     16,                 1.6132,                 1.5226,                 1.2904,                0.48186,                 0.3602,                0.35636,                0.18239,                 1.6804,                 1.5909,                 1.3143,              7.675e-05,              7.675e-05,              7.675e-05
                     17,                 1.6112,                 1.5108,                 1.2869,                 0.4609,                0.36928,                0.35886,                0.18355,                 1.6777,                 1.5933,                 1.3119,             6.4375e-05,             6.4375e-05,             6.4375e-05
                     18,                 1.6066,                 1.5102,                 1.2866,                0.46783,                0.37079,                0.35888,                0.18462,                 1.6783,                 1.5878,                 1.3132,                5.2e-05,                5.2e-05,                5.2e-05
                     19,                 1.6057,                 1.5014,                 1.2848,                0.47497,                0.36911,                0.36151,                0.18621,                 1.6765,                 1.5837,                 1.3111,             3.9625e-05,             3.9625e-05,             3.9625e-05
