epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
31,26468.4,1.11308,0.70565,1.13552,0.74579,0.70232,0.73639,0.47044,1.23144,0.72582,1.2279,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
32,28026.7,1.10732,0.70069,1.13064,0.75046,0.70695,0.73505,0.46995,1.23015,0.7248,1.22373,0.0253965,0.0084655,0.0253965,0.0084655,0.0253965,0.0084655,0.0253965,0.0084655
33,1340.23,1.08117,0.66744,1.12229,0.72953,0.7174,0.73736,0.47083,1.22921,0.72201,1.22642,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
34,2703.9,1.08819,0.67734,1.12617,0.76381,0.69893,0.73659,0.47191,1.22802,0.72288,1.2261,0.0250995,0.0083665,0.0250995,0.0083665,0.0250995,0.0083665,0.0250995,0.0083665
35,4058.41,1.08264,0.67705,1.12599,0.73869,0.71123,0.73598,0.47176,1.22737,0.72282,1.22898,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317
36,5404.17,1.0781,0.66725,1.12435,0.72218,0.71286,0.73742,0.4732,1.22692,0.72102,1.2313,0.0248025,0.0082675,0.0248025,0.0082675,0.0248025,0.0082675,0.0248025,0.0082675
37,6756.41,1.07593,0.66465,1.12468,0.73766,0.70179,0.73775,0.47376,1.22586,0.71802,1.23269,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
38,8106.91,1.07116,0.66415,1.12113,0.75746,0.70449,0.73779,0.47362,1.22402,0.71725,1.23258,0.0245055,0.0081685,0.0245055,0.0081685,0.0245055,0.0081685,0.0245055,0.0081685
39,9453.28,1.06362,0.65623,1.11682,0.75805,0.70603,0.74212,0.4749,1.22185,0.71614,1.23267,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119
40,10800.1,1.05673,0.64962,1.12088,0.76981,0.7022,0.74467,0.4759,1.22093,0.71624,1.23423,0.0242085,0.0080695,0.0242085,0.0080695,0.0242085,0.0080695,0.0242085,0.0080695
41,12145.3,1.05545,0.63996,1.10968,0.77408,0.70493,0.74542,0.47699,1.21996,0.71464,1.23476,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
42,13492.9,1.05036,0.63741,1.11069,0.77784,0.70427,0.74481,0.47635,1.21984,0.71371,1.2348,0.0239115,0.0079705,0.0239115,0.0079705,0.0239115,0.0079705,0.0239115,0.0079705
43,14838.2,1.04522,0.63852,1.10321,0.77664,0.70592,0.74518,0.47676,1.21937,0.71304,1.23457,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921
44,16190.7,1.04758,0.63695,1.10012,0.77351,0.70682,0.7445,0.47687,1.2188,0.71343,1.23329,0.0236145,0.0078715,0.0236145,0.0078715,0.0236145,0.0078715,0.0236145,0.0078715
45,17538.1,1.03989,0.63045,1.10244,0.77037,0.70916,0.74655,0.47835,1.21824,0.71346,1.23326,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
46,18888.6,1.03657,0.62679,1.09159,0.76743,0.71049,0.74676,0.47937,1.21842,0.71262,1.23254,0.0233175,0.0077725,0.0233175,0.0077725,0.0233175,0.0077725,0.0233175,0.0077725
47,20237,1.03888,0.63173,1.09731,0.76775,0.71049,0.7483,0.48011,1.2189,0.71199,1.23281,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723
48,21588.3,1.03331,0.62638,1.09779,0.76653,0.71218,0.74684,0.47977,1.21854,0.7121,1.23331,0.0230205,0.0076735,0.0230205,0.0076735,0.0230205,0.0076735,0.0230205,0.0076735
49,22933,1.03712,0.62728,1.09923,0.76571,0.71212,0.74654,0.48023,1.21829,0.71161,1.23395,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
50,24279.5,1.03806,0.63187,1.09787,0.76766,0.70954,0.7474,0.48165,1.21725,0.71173,1.23361,0.0227235,0.0075745,0.0227235,0.0075745,0.0227235,0.0075745,0.0227235,0.0075745
51,25628.4,1.04087,0.63204,1.09988,0.77337,0.70444,0.74817,0.48122,1.21722,0.71178,1.23377,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525
52,26973.8,1.03732,0.63155,1.09704,0.76931,0.70805,0.74768,0.48138,1.2169,0.71169,1.23378,0.0224265,0.0074755,0.0224265,0.0074755,0.0224265,0.0074755,0.0224265,0.0074755
53,1421.24,0.98819,0.57436,1.06767,0.77134,0.70591,0.7487,0.4817,1.21678,0.71125,1.23351,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
54,2857.54,1.00245,0.58964,1.07977,0.77396,0.7013,0.74771,0.48198,1.21631,0.7108,1.23321,0.0221295,0.0073765,0.0221295,0.0073765,0.0221295,0.0073765,0.0221295,0.0073765
55,4277.72,1.00084,0.59577,1.07877,0.77505,0.70334,0.74749,0.48199,1.21574,0.71087,1.23267,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327
56,5699.77,1.00244,0.59359,1.08284,0.77115,0.70637,0.74708,0.48159,1.21575,0.71084,1.23312,0.0218325,0.0072775,0.0218325,0.0072775,0.0218325,0.0072775,0.0218325,0.0072775
57,7117.27,1.00191,0.59303,1.08575,0.77353,0.7043,0.74633,0.4817,1.21523,0.71066,1.23345,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
58,8534.81,1.00024,0.59716,1.08167,0.7742,0.70197,0.74615,0.48168,1.21525,0.71082,1.23404,0.0215355,0.0071785,0.0215355,0.0071785,0.0215355,0.0071785,0.0215355,0.0071785
59,9951.47,0.99616,0.5923,1.0708,0.77494,0.70271,0.74573,0.48085,1.21513,0.71084,1.23395,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129
60,11367.4,0.99421,0.5896,1.07849,0.77553,0.7019,0.74627,0.48109,1.21521,0.71114,1.23424,0.0212385,0.0070795,0.0212385,0.0070795,0.0212385,0.0070795,0.0212385,0.0070795
61,12783.8,0.99358,0.58352,1.07138,0.77556,0.70304,0.74706,0.48095,1.21487,0.71099,1.2342,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
62,14199.4,0.99279,0.5845,1.07627,0.76379,0.71026,0.74738,0.48103,1.2149,0.71108,1.23449,0.0209415,0.0069805,0.0209415,0.0069805,0.0209415,0.0069805,0.0209415,0.0069805
63,15620.1,0.9894,0.58745,1.06984,0.76089,0.71648,0.74735,0.48118,1.2147,0.71088,1.2346,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
64,17038,0.99511,0.59012,1.07093,0.76063,0.71762,0.74787,0.48136,1.21437,0.71094,1.23423,0.0206445,0.0068815,0.0206445,0.0068815,0.0206445,0.0068815,0.0206445,0.0068815
65,18459.1,0.98998,0.58644,1.07526,0.76453,0.71263,0.7481,0.48215,1.21422,0.71075,1.23458,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
66,19877.7,0.98847,0.58622,1.07229,0.76749,0.71163,0.74819,0.48211,1.21411,0.71045,1.23475,0.0203475,0.0067825,0.0203475,0.0067825,0.0203475,0.0067825,0.0203475,0.0067825
67,21293.6,0.99219,0.59043,1.07296,0.76185,0.71402,0.74813,0.48206,1.21397,0.71034,1.23475,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733
68,22712.2,0.98711,0.58761,1.07192,0.76536,0.71237,0.74869,0.48212,1.21363,0.70994,1.23485,0.0200505,0.0066835,0.0200505,0.0066835,0.0200505,0.0066835,0.0200505,0.0066835
69,24130.4,0.99217,0.58898,1.07554,0.76572,0.71219,0.74878,0.48211,1.21328,0.70954,1.23518,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
70,25545.6,0.99314,0.59147,1.0697,0.76476,0.71277,0.74909,0.48216,1.21314,0.70945,1.23516,0.0197535,0.0065845,0.0197535,0.0065845,0.0197535,0.0065845,0.0197535,0.0065845
71,26969.5,0.99659,0.59309,1.07856,0.76357,0.71434,0.7491,0.48272,1.21277,0.70915,1.23534,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
72,28394.4,0.99119,0.59263,1.06685,0.7616,0.71741,0.74925,0.48284,1.21224,0.70861,1.23486,0.0194565,0.0064855,0.0194565,0.0064855,0.0194565,0.0064855,0.0194565,0.0064855
73,1277.28,0.92259,0.51904,1.03547,0.76741,0.71154,0.74954,0.48238,1.21223,0.70818,1.23486,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
74,2562.14,0.9468,0.54067,1.04941,0.76818,0.70992,0.74993,0.48224,1.21225,0.70813,1.23501,0.0191595,0.0063865,0.0191595,0.0063865,0.0191595,0.0063865,0.0191595,0.0063865
75,3849.47,0.95007,0.55006,1.05598,0.7683,0.70975,0.75025,0.48269,1.21219,0.7082,1.23546,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337
76,5126.73,0.95431,0.55007,1.05622,0.76727,0.71059,0.74968,0.4825,1.21207,0.7082,1.23592,0.0188625,0.0062875,0.0188625,0.0062875,0.0188625,0.0062875,0.0188625,0.0062875
77,6409.37,0.95666,0.55204,1.05294,0.75903,0.71857,0.74926,0.48201,1.21163,0.70842,1.23555,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
78,7690.11,0.95726,0.55878,1.0545,0.76304,0.71676,0.74965,0.48217,1.21159,0.70844,1.23574,0.0185655,0.0061885,0.0185655,0.0061885,0.0185655,0.0061885,0.0185655,0.0061885
79,8974.11,0.95662,0.55647,1.056,0.76025,0.7209,0.74949,0.482,1.21112,0.70841,1.23587,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139
80,10252.7,0.95355,0.55321,1.06073,0.75976,0.72118,0.7499,0.48198,1.21097,0.70833,1.2363,0.0182685,0.0060895,0.0182685,0.0060895,0.0182685,0.0060895,0.0182685,0.0060895
81,11539.6,0.95459,0.55188,1.05249,0.76109,0.71942,0.75006,0.48264,1.21108,0.70776,1.23679,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
82,12821.1,0.95479,0.55227,1.05784,0.76071,0.71881,0.7505,0.48276,1.21107,0.70749,1.23721,0.0179715,0.0059905,0.0179715,0.0059905,0.0179715,0.0059905,0.0179715,0.0059905
83,14099.1,0.95146,0.55566,1.05211,0.75927,0.71801,0.75052,0.48251,1.21104,0.7071,1.23762,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941
84,15381.9,0.95913,0.55951,1.05687,0.7643,0.71534,0.75078,0.48293,1.21102,0.70691,1.23795,0.0176745,0.0058915,0.0176745,0.0058915,0.0176745,0.0058915,0.0176745,0.0058915
