epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
131,10399.6,1.14038,0.60942,0.00473,0.745,0.73196,0.75184,0.4875,1.34428,0.83509,0.00841,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565
132,11435.5,1.14113,0.61166,0.00473,0.7573,0.71898,0.75047,0.48764,1.34431,0.83548,0.00841,0.0105465,0.0035155,0.0105465,0.0035155,0.0105465,0.0035155,0.0105465,0.0035155
133,12470.8,1.13937,0.61219,0.00476,0.75935,0.72022,0.75027,0.48718,1.34383,0.83548,0.00841,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466
134,13504.2,1.14085,0.6122,0.00473,0.76051,0.72051,0.74944,0.48708,1.34383,0.83564,0.00841,0.0102495,0.0034165,0.0102495,0.0034165,0.0102495,0.0034165,0.0102495,0.0034165
135,14541.9,1.14291,0.61333,0.00469,0.76432,0.72012,0.75053,0.4871,1.34347,0.83609,0.00841,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367
136,15579.2,1.14635,0.62034,0.00469,0.76165,0.7243,0.74944,0.48769,1.34336,0.83517,0.00842,0.0099525,0.0033175,0.0099525,0.0033175,0.0099525,0.0033175,0.0099525,0.0033175
137,16618.6,1.13804,0.6129,0.00468,0.76238,0.72431,0.74972,0.48754,1.34341,0.83555,0.00842,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268
138,17653.5,1.14226,0.6116,0.00467,0.75783,0.72691,0.74946,0.48744,1.34352,0.8349,0.00843,0.0096555,0.0032185,0.0096555,0.0032185,0.0096555,0.0032185,0.0096555,0.0032185
139,18681.6,1.13304,0.61355,0.00466,0.76353,0.71823,0.74936,0.48766,1.3428,0.83533,0.00842,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169
140,19711.9,1.14286,0.6114,0.00464,0.75019,0.72668,0.74937,0.48756,1.34255,0.83623,0.00843,0.0093585,0.0031195,0.0093585,0.0031195,0.0093585,0.0031195,0.0093585,0.0031195
141,20741.6,1.13029,0.61255,0.00464,0.75221,0.72569,0.75017,0.48815,1.34213,0.83645,0.00842,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
142,21769.4,1.12716,0.61225,0.00474,0.75398,0.72581,0.74983,0.48864,1.3415,0.8371,0.00842,0.0090615,0.0030205,0.0090615,0.0030205,0.0090615,0.0030205,0.0090615,0.0030205
143,22798.1,1.12799,0.60961,0.00461,0.75963,0.72208,0.74818,0.48734,1.34149,0.83702,0.00842,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971
144,23826.1,1.11463,0.6028,0.00468,0.76485,0.71789,0.74842,0.48793,1.34099,0.83668,0.00842,0.0087645,0.0029215,0.0087645,0.0029215,0.0087645,0.0029215,0.0087645,0.0029215
145,24856.9,1.12362,0.60901,0.00461,0.76439,0.71953,0.7485,0.48818,1.34045,0.83693,0.00842,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872
146,25883.5,1.11794,0.60228,0.00465,0.76473,0.7198,0.74795,0.48801,1.34038,0.836,0.00842,0.0084675,0.0028225,0.0084675,0.0028225,0.0084675,0.0028225,0.0084675,0.0028225
147,26907.4,1.12615,0.60926,0.00459,0.7559,0.72372,0.74679,0.48809,1.33988,0.83562,0.00842,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773
148,27943.2,1.12282,0.60232,0.00462,0.75483,0.72416,0.74677,0.4878,1.33965,0.83609,0.00842,0.0081705,0.0027235,0.0081705,0.0027235,0.0081705,0.0027235,0.0081705,0.0027235
