                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.0661,                 2.5738,                 1.6965,                0.39711,                0.20081,                 0.1434,                0.06832,                 1.9523,                 2.3713,                 1.6041,             8.3303e-05,             8.3303e-05,             8.3303e-05
                      2,                 2.0278,                 2.4536,                 1.6435,                0.39401,                0.20352,                0.14473,                0.06902,                 1.9353,                 2.2924,                 1.5789,             0.00015839,             0.00015839,             0.00015839
                      3,                 2.0034,                 2.4027,                 1.6128,                0.44464,                0.19343,                0.14887,                0.07026,                 1.9254,                 2.2463,                 1.5627,             0.00022522,             0.00022522,             0.00022522
                      4,                 1.9722,                 2.3528,                 1.5859,                0.42514,                0.21095,                0.15882,                0.07531,                 1.9121,                 2.2008,                 1.5474,             0.00021288,             0.00021288,             0.00021288
                      5,                 1.9566,                 2.3169,                 1.5658,                0.42006,                0.22548,                0.16876,                0.07974,                 1.8967,                 2.1997,                 1.5304,             0.00021288,             0.00021288,             0.00021288
                      6,                 1.9284,                 2.2734,                 1.5421,                0.47006,                0.22456,                0.17393,                0.08261,                 1.8813,                 2.1385,                 1.5137,              0.0002005,              0.0002005,              0.0002005
                      7,                 1.9204,                 2.2501,                 1.5294,                0.44944,                0.23144,                 0.1819,                 0.0853,                 1.8666,                 2.1187,                 1.5001,             0.00018812,             0.00018812,             0.00018812
                      8,                 1.9046,                 2.2142,                 1.5136,                  0.434,                0.22873,                0.18727,                0.08768,                 1.8609,                  2.092,                 1.4912,             0.00017575,             0.00017575,             0.00017575
                      9,                 1.8832,                 2.1844,                  1.497,                0.43183,                0.23017,                0.18977,                0.08854,                 1.8482,                 2.0848,                 1.4798,             0.00016338,             0.00016338,             0.00016338
                     10,                 1.8684,                 2.1485,                 1.4861,                0.41747,                 0.2369,                 0.1968,                0.09323,                  1.845,                 2.0559,                 1.4737,               0.000151,               0.000151,               0.000151
                     11,                 1.8127,                 2.0362,                 1.4606,                0.39181,                0.24533,                 0.2063,                0.10143,                 1.8348,                 2.0114,                 1.4629,             0.00013862,             0.00013862,             0.00013862
                     12,                 1.7949,                  1.983,                 1.4483,                0.40896,                0.25613,                0.21703,                0.10706,                 1.8274,                 1.9943,                 1.4555,             0.00012625,             0.00012625,             0.00012625
                     13,                 1.7896,                 1.9637,                 1.4414,                0.39707,                0.25824,                0.22151,                0.10983,                 1.8208,                 1.9849,                 1.4465,             0.00011387,             0.00011387,             0.00011387
                     14,                 1.7825,                 1.9362,                 1.4333,                0.40347,                0.26388,                0.22643,                0.11177,                 1.8151,                  1.962,                 1.4426,              0.0001015,              0.0001015,              0.0001015
                     15,                 1.7748,                 1.9216,                 1.4306,                0.39933,                0.27557,                0.23031,                0.11418,                 1.8119,                 1.9542,                   1.44,             8.9125e-05,             8.9125e-05,             8.9125e-05
                     16,                 1.7703,                 1.9023,                 1.4249,                0.40817,                0.27529,                0.23442,                 0.1154,                 1.8096,                 1.9428,                 1.4369,              7.675e-05,              7.675e-05,              7.675e-05
                     17,                 1.7648,                 1.8945,                  1.421,                0.40635,                0.27264,                0.23295,                0.11584,                 1.8058,                 1.9394,                 1.4346,             6.4375e-05,             6.4375e-05,             6.4375e-05
                     18,                  1.761,                 1.8839,                 1.4178,                0.41925,                0.27496,                0.23528,                0.11715,                 1.8045,                 1.9309,                 1.4327,                5.2e-05,                5.2e-05,                5.2e-05
                     19,                 1.7587,                  1.874,                 1.4153,                0.42358,                0.27471,                0.23693,                0.11828,                 1.8023,                 1.9255,                 1.4303,             3.9625e-05,             3.9625e-05,             3.9625e-05
                     20,                 1.7583,                 1.8714,                  1.417,                0.41826,                0.27547,                0.23598,                0.11775,                 1.8004,                 1.9223,                 1.4286,              2.725e-05,              2.725e-05,              2.725e-05
