                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.1111,                 2.6422,                 1.8221,                0.39763,                0.14449,                0.09873,                0.04466,                 2.1226,                 2.6046,                 1.8161,             8.3303e-05,             8.3303e-05,             8.3303e-05
                      2,                 2.0846,                  2.587,                 1.7849,                0.38581,                0.13985,                0.10828,                0.05035,                 2.1025,                 2.5666,                 1.7807,             0.00015014,             0.00015014,             0.00015014
                      3,                 2.0574,                 2.5266,                 1.7434,                0.39462,                0.14356,                0.11694,                 0.0535,                 2.0672,                 2.5282,                 1.7335,             0.00020048,             0.00020048,             0.00020048
                      4,                 2.0237,                 2.4496,                 1.7009,                0.42191,                0.15524,                0.12398,                0.05809,                  2.043,                 2.4603,                  1.707,             0.00017575,             0.00017575,             0.00017575
                      5,                 1.9988,                 2.3987,                 1.6706,                0.43462,                 0.1653,                0.13142,                0.06114,                 2.0134,                 2.4095,                 1.6685,             0.00017575,             0.00017575,             0.00017575
                      6,                 1.9759,                 2.3421,                 1.6412,                0.38649,                0.17941,                0.13909,                0.06578,                 1.9949,                 2.3603,                  1.649,               0.000151,               0.000151,               0.000151
                      7,                 1.9589,                   2.29,                 1.6194,                0.33912,                0.19593,                0.14615,                 0.0696,                 1.9765,                 2.3251,                 1.6218,             0.00012625,             0.00012625,             0.00012625
                      8,                 1.9399,                 2.2581,                 1.5987,                  0.384,                0.19061,                0.14848,                 0.0703,                 1.9661,                 2.3167,                 1.6136,              0.0001015,              0.0001015,              0.0001015
                      9,                 1.9317,                 2.2331,                 1.5873,                0.40553,                0.19365,                0.15463,                0.07446,                 1.9612,                 2.2925,                  1.603,              7.675e-05,              7.675e-05,              7.675e-05
                     10,                 1.9179,                 2.2109,                 1.5776,                0.38466,                0.20067,                0.15599,                0.07519,                 1.9545,                  2.276,                 1.5946,                5.2e-05,                5.2e-05,                5.2e-05
