                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  1.737,                 1.8463,                  1.362,                0.42794,                0.34903,                 0.2981,                0.15115,                 1.7193,                 1.7103,                 1.3506,             8.3303e-05,             8.3303e-05,             8.3303e-05
                      2,                 1.7263,                 1.8009,                 1.3493,                0.46291,                0.33906,                0.29755,                0.14969,                 1.7244,                 1.7079,                 1.3525,             0.00015839,             0.00015839,             0.00015839
                      3,                 1.7286,                 1.7995,                 1.3518,                0.45153,                0.33387,                0.30179,                0.15262,                 1.7214,                  1.714,                 1.3516,             0.00022522,             0.00022522,             0.00022522
                      4,                 1.7197,                 1.7928,                 1.3481,                0.44552,                0.33987,                0.29506,                0.14748,                 1.7221,                 1.7118,                 1.3496,             0.00021288,             0.00021288,             0.00021288
                      5,                 1.7248,                 1.7893,                 1.3484,                 0.4434,                0.35295,                0.30373,                0.15156,                 1.7198,                 1.7226,                 1.3525,             0.00021288,             0.00021288,             0.00021288
                      6,                 1.7149,                 1.7778,                 1.3428,                0.43064,                 0.3507,                0.30286,                0.15196,                 1.7103,                 1.6981,                 1.3458,              0.0002005,              0.0002005,              0.0002005
                      7,                 1.7162,                 1.7743,                 1.3401,                0.44991,                0.33782,                0.30228,                0.15114,                 1.7097,                 1.6994,                 1.3438,             0.00018812,             0.00018812,             0.00018812
                      8,                 1.7137,                 1.7686,                 1.3386,                0.44373,                0.35095,                0.30513,                0.15417,                 1.7089,                 1.6875,                 1.3433,             0.00017575,             0.00017575,             0.00017575
                      9,                 1.7023,                 1.7554,                 1.3322,                0.44169,                0.35335,                0.30301,                0.15324,                 1.7014,                 1.7031,                 1.3412,             0.00016338,             0.00016338,             0.00016338
                     10,                 1.6948,                 1.7388,                 1.3289,                0.48273,                0.33845,                0.31291,                0.15741,                 1.7062,                 1.6794,                  1.341,               0.000151,               0.000151,               0.000151
                     11,                 1.6557,                 1.6372,                 1.3221,                0.48206,                0.33494,                0.32234,                0.16533,                 1.7047,                 1.6613,                  1.339,             0.00013862,             0.00013862,             0.00013862
                     12,                 1.6449,                 1.6027,                 1.3136,                0.46602,                0.34848,                0.33029,                0.16771,                 1.7018,                 1.6536,                 1.3343,             0.00012625,             0.00012625,             0.00012625
                     13,                 1.6413,                 1.5965,                 1.3115,                0.44763,                0.34803,                0.32979,                0.16884,                 1.7001,                 1.6526,                  1.332,             0.00011387,             0.00011387,             0.00011387
                     14,                 1.6396,                 1.5825,                 1.3094,                0.46912,                0.35912,                0.32901,                0.16865,                  1.699,                 1.6464,                 1.3321,              0.0001015,              0.0001015,              0.0001015
                     15,                 1.6342,                 1.5752,                 1.3086,                0.45139,                0.34982,                0.33344,                0.17163,                 1.6944,                 1.6388,                 1.3299,             8.9125e-05,             8.9125e-05,             8.9125e-05
                     16,                 1.6324,                  1.569,                 1.3059,                0.43272,                0.36725,                0.33591,                0.17253,                 1.6951,                 1.6335,                 1.3283,              7.675e-05,              7.675e-05,              7.675e-05
                     17,                 1.6327,                 1.5633,                 1.3043,                 0.4444,                0.35584,                0.33665,                0.17323,                 1.6937,                  1.638,                 1.3265,             6.4375e-05,             6.4375e-05,             6.4375e-05
                     18,                 1.6274,                 1.5576,                 1.3033,                0.43537,                 0.3576,                0.33852,                0.17412,                 1.6936,                 1.6285,                 1.3269,                5.2e-05,                5.2e-05,                5.2e-05
                     19,                 1.6264,                 1.5485,                  1.301,                0.44288,                0.35743,                0.33997,                0.17475,                 1.6923,                  1.628,                 1.3252,             3.9625e-05,             3.9625e-05,             3.9625e-05
                     20,                 1.6273,                 1.5495,                 1.3031,                0.45029,                0.35954,                0.33924,                0.17469,                 1.6905,                 1.6272,                 1.3248,              2.725e-05,              2.725e-05,              2.725e-05
