                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  1.707,                 1.7745,                 1.3364,                0.46255,                0.35047,                0.31946,                0.16414,                  1.699,                 1.6545,                 1.3316,             8.3303e-05,             8.3303e-05,             8.3303e-05
                      2,                 1.6969,                 1.7317,                 1.3247,                0.43771,                0.36895,                0.32264,                0.16314,                 1.7064,                 1.6496,                 1.3341,             0.00015839,             0.00015839,             0.00015839
                      3,                 1.7001,                 1.7325,                 1.3273,                0.43393,                0.35779,                0.32262,                0.16213,                 1.7029,                 1.6641,                 1.3328,             0.00022522,             0.00022522,             0.00022522
                      4,                 1.6913,                 1.7272,                 1.3242,                0.44129,                0.35803,                0.31717,                0.15838,                 1.7042,                 1.6601,                 1.3317,             0.00021288,             0.00021288,             0.00021288
                      5,                 1.6986,                 1.7287,                 1.3261,                 0.4663,                0.36626,                0.32435,                0.16082,                 1.7032,                 1.6782,                 1.3362,             0.00021288,             0.00021288,             0.00021288
                      6,                 1.6874,                  1.715,                 1.3199,                0.47597,                0.35086,                0.32325,                0.16292,                 1.6929,                 1.6492,                 1.3297,              0.0002005,              0.0002005,              0.0002005
                      7,                 1.6914,                 1.7148,                 1.3196,                0.46489,                0.35762,                0.32286,                0.16163,                 1.6925,                 1.6501,                 1.3275,             0.00018812,             0.00018812,             0.00018812
                      8,                 1.6883,                 1.7077,                 1.3181,                0.45247,                0.36182,                0.32748,                 0.1641,                 1.6905,                 1.6399,                 1.3277,             0.00017575,             0.00017575,             0.00017575
                      9,                 1.6782,                 1.6963,                 1.3125,                0.44295,                0.35272,                0.32471,                0.16333,                 1.6836,                 1.6533,                 1.3257,             0.00016338,             0.00016338,             0.00016338
                     10,                 1.6709,                 1.6815,                 1.3095,                0.47121,                0.36411,                0.33601,                0.16746,                 1.6899,                 1.6314,                 1.3259,               0.000151,               0.000151,               0.000151
                     11,                 1.6334,                 1.5819,                  1.304,                0.45371,                0.35255,                0.33796,                0.17357,                 1.6873,                 1.6132,                 1.3215,             0.00013862,             0.00013862,             0.00013862
                     12,                 1.6223,                 1.5482,                 1.2959,                0.46825,                0.36002,                0.34896,                0.17712,                 1.6858,                 1.6061,                 1.3198,             0.00012625,             0.00012625,             0.00012625
                     13,                 1.6204,                 1.5451,                 1.2941,                   0.48,                 0.3542,                0.34889,                0.17822,                 1.6838,                 1.6022,                 1.3178,             0.00011387,             0.00011387,             0.00011387
                     14,                 1.6186,                 1.5296,                 1.2926,                 0.4573,                0.36399,                0.34721,                0.17855,                 1.6842,                 1.6028,                 1.3184,              0.0001015,              0.0001015,              0.0001015
                     15,                  1.614,                 1.5251,                 1.2927,                0.48219,                0.35673,                0.35573,                0.18272,                 1.6776,                 1.5943,                 1.3155,             8.9125e-05,             8.9125e-05,             8.9125e-05
                     16,                 1.6128,                 1.5226,                 1.2902,                0.48734,                0.35728,                0.35715,                0.18368,                 1.6793,                 1.5905,                  1.314,              7.675e-05,              7.675e-05,              7.675e-05
                     17,                 1.6122,                 1.5137,                 1.2876,                0.46333,                0.36791,                0.35621,                0.18278,                 1.6779,                  1.595,                 1.3124,             6.4375e-05,             6.4375e-05,             6.4375e-05
                     18,                 1.6067,                   1.51,                 1.2865,                0.48099,                0.36606,                0.35972,                0.18523,                  1.676,                 1.5853,                 1.3113,                5.2e-05,                5.2e-05,                5.2e-05
                     19,                 1.6053,                 1.4988,                 1.2846,                0.47339,                0.36913,                0.36198,                0.18669,                  1.676,                 1.5856,                 1.3108,             3.9625e-05,             3.9625e-05,             3.9625e-05
                     20,                 1.6068,                 1.4984,                 1.2866,                0.47724,                 0.3644,                0.36109,                0.18602,                  1.674,                 1.5843,                 1.3103,              2.725e-05,              2.725e-05,              2.725e-05
